"","rownb","Subject","Group","Condition","VideoTrial","VideoName","Target","Match","NbMatches","Checked_KS","Comment_KS","Comment_GMM"
"3600",3601,"NS_198","NS","Control",2,"prd_balcol","Popi baja una colina empujando una pelota","baja:bajar_V%empujando:empujando_Ger",2,"","",""
"3272",3273,"NS_188","NS","Control",4,"prd_balnei","Popi ha bajado una pelota rodándola por una ladera de nieve","ha bajado:bajar_V%rodándola:rodando_Ger",2,"","",""
"2024",2025,"NS_150","NS","Manner",10,"pgt_panrue","Popi empuja una cesta con frutas por una cuidad","empuja:empujar_V",1,"","",""
"776",777,"24","L2","Path",16,"prd_balnei","Pepe baja una coleta de nieva con una pelota inflantible","baja:bajar_V",1,"","",""
"1331",1332,"41","L2","Path",10,"pgt_panrue","Popi cruzó la calle con una cesta llena de manzanas","cruzó:cruzar_V",1,"","",""
"2237",2238,"NS_156","NS","Control",25,"trd_bronei","Popi arrastra una carretilla por la colina de nieve","arrastra:arrastrar_V",1,"","",""
"153",154,"5","L2","Manner",20,"prm_boudun","el chico empuja el juguete de plástico encima de una colina","empuja:empujar_V%encima:encima_PP",2,"","",""
"2832",2833,"NS_174","NS","Path",26,"tre_cadgro","Popi mete en la cueva un carrito de la compra","mete:meter_V",1,"","",""
"2869",2870,"NS_175","NS","Control",30,"tge_chamai","Popi introduce una silla verde en un granero","introduce:introducir_V",1,"","",""
"3790",3791,"NS_204","NS","Manner",27,"pgt_panrue","Popi arrastra una cesta de manzanas por el pueblo","arrastra:arrastrar_V",1,"","",""
"22",23,"1","L2","Manner",21,"pgt_panrue","Popi ha empujado una sesta con manzanas","ha empujado:empujar_V",1,"","",""
"3360",3361,"NS_190","NS","Control",26,"prt_rourou","Popi está empujando una rueda de madera hacia el otro lado de la carretera","está empujando:empujar_V%hacia el otro lado de la carretera:PREP-otro-lado_PP",2,"","",""
"2846",2847,"NS_175","NS","Control",7,"tre_cadgro","Popi entraba en una cueva con un carrito verde","entraba en:entrar_V",1,"","",""
"51",52,"2","L2","Control",17,"pge_tabgro","Popi caminó con una mesa y entró una cueva","caminó:caminar_V%entró:entrar_V",2,"","",""
"35",36,"2","L2","Control",1,"prd_balcol","bajó con un pelota","bajó:bajar_V",1,"","",""
"831",832,"26","L2","Manner",5,"prm_boudun","Popi va con un rueda de baño arriba de una duna","va:ir_V%arriba:arriba_AdvP",2,"","",""
"1419",1420,"43","L2","Control",32,"pge_tabgro","Popi ha empujado una mesa hacia una cueva","ha empujado:empujar_V%hacia una cueva:hacia/hasta-BOUNDARY_PP",2,"","",""
"3080",3081,"NS_182","NS","Manner",10,"prd_balcol","Popi empuja una pelota por una montaña","empuja:empujar_V",1,"","",""
"1425",1426,"44","L2","Control",5,"pgt_panrue","Popi tiene una cesta de manzanas lo ha empujado al otro lado de la calle","ha empujado:empujar_V%al otro lado de la calle:PREP-otro-lado_PP",2,"","",""
"2122",2123,"NS_153","NS","Control",9,"trt_pourue","Popi ha cruzado la calle con un coche de bebé","ha cruzado:cruzar_V",1,"","",""
"1350",1351,"41","L2","Path",29,"pge_tabmai","Popi empujó la mesa y la entró en el granjero","empujó:empujar_V%entró en:entrar_V",2,"","",""
"2275",2276,"NS_157","NS","Manner",30,"trm_voitoi","Popi sube el coche a lo alto del tejado","sube:subir_V%a lo alto:PREP-lo-alto_PP",2,"","",""
"875",876,"27","L2","Control",16,"pre_pnemai","Popi va rodando una rueda de goma y lo entra al granero","entra a:entrar_V%va:ir_V",2,"","",""
"632",633,"20","L2","Manner",4,"trd_brocol","Popi baja la colina arrastrando un no sé cómo se llama","baja:bajar_V%arrastrando:arrastrando_Ger",2,"","",""
"407",408,"13","L2","Path",10,"pgt_panrue","Popi está cruzando la calle con una cesta llena de manzanas","está cruzando:cruzar_V",1,"","",""
"493",494,"15","L2","Manner",30,"pge_tabmai","Popi empuja una mesa redonda y entra en el granero a la derecha","empuja:empujar_V%entra en:entrar_V",2,"","",""
"251",252,"8","L2","Manner",19,"prd_balnei","Popi empuja la pelota abajo de la cuesta nevada","empuja:empujar_V%abajo:abajo_AdvP",2,"","",""
"1739",1740,"53","L2","Path",22,"trd_bronei","Popi baja un carril de rueda","baja:bajar_V",1,"","",""
"2977",2978,"NS_179","NS","Manner",6,"prm_boutoi","Popi sube al tejado su flotador","sube:subir_V",1,"","",""
"3228",3229,"NS_186","NS","Control",26,"tgt_cherue","Popi cruza la cerra con el caballito","cruza:cruzar_V",1,"","",""
"2112",2113,"NS_152","NS","Control",32,"pgm_paqtoi","Popi sube un tejado arrastrando un regalo","sube:subir_V%arrastrando:arrastrando_Ger",2,"","",""
"864",865,"27","L2","Control",5,"pre_pnegro","Popi lleva una rueda de auto rodándolo y entrándolo a la cueva","lleva:llevar_V%entrándolo a:entrando_Ger%rodándolo:rodando_Ger",3,"","",""
"2481",2482,"NS_164","NS","Manner",5,"tre_cadmai","Popi lleva el carrito de la compra para guardarlo","lleva:llevar_V%para guardarlo:guardar_Inf",2,"","",""
"3731",3732,"NS_203","NS","Control",1,"tgm_sacdun","Popi arrastra un saco por la playa","arrastra:arrastrar_V",1,"","",""
"1624",1625,"50","L2","Control",6,"pre_pnegro","ha entrado en una cueva empujando una rueda","ha entrado en:entrar_V%empujando:empujando_Ger",2,"","",""
"517",518,"16","L2","Manner",21,"pgm_paqtoi","Popi sube al techo de una casa con un regalo grandísimo","sube:subir_V",1,"","",""
"1851",1852,"57","L2","Path",2,"tgd_malcol","el Popi baja una caja negra en una cuerda en una colina","baja:bajar_V%en una cuerda:con-una-cuerda_PP",2,"","",""
"1533",1534,"47","L2","Manner",14,"prd_balnei","Popi baja una montaña nevada con una pelota inflatible","baja:bajar_V",1,"","",""
"469",470,"15","L2","Manner",6,"tgt_cherou","Popi ha arrastrado un caballo para niños por una carretera en el campo","ha arrastrado:arrastrar_V",1,"","",""
"1118",1119,"34","L2","Manner",28,"prd_balnei","él empujando un pelota de inflable arriba la nieve","arriba:arriba_AdvP%empujando:empujando_Ger",2,"","",""
"2629",2630,"NS_168","NS","Path",21,"tre_cadmai","Popi se mete en un granero con un carrito de la compra verde","mete:meter_V",1,"","",""
"3396",3397,"NS_191","NS","Manner",29,"tgt_cherou","Popi arrastra un caballito de madera por un camino","arrastra:arrastrar_V",1,"","",""
"71",72,"3","L2","Path",4,"pgd_valnei","está bajando con una maleta","está bajando:bajar_V",1,"","",""
"58",59,"2","L2","Control",24,"pge_tabmai","Popi entró una puerta rojo [=roja] con una maleta","entró:entrar_V",1,"","",""
"1791",1792,"55","L2","Manner",8,"tge_chamai","Popi arrastra una silla por la casa","arrastra:arrastrar_V",1,"","",""
"2784",2785,"NS_173","NS","Path",11,"trd_bronei","Popi baja una carretilla por una cuesta de nieve","baja:bajar_V",1,"","",""
"553",554,"17","L2","Path",24,"tge_chagro","Popi entra en una cueva con una silla","entra en:entrar_V",1,"","",""
"106",107,"4","L2","Control",6,"pge_tabmai","Popi ha traído la mesa dentro la casa","traído:traer_V%dentro:(a)dentro_AdvP",2,"","",""
"2327",2328,"NS_159","NS","Path",16,"pre_pnegro","Popi empuja la rueda de un coche y la introduce en una cueva","empuja:empujar_V%introduce:introducir_V",2,"","",""
"705",706,"22","L2","Path",11,"pgt_panrue","Popi cruza la calle con mucha fuerza está empujando una cesta llena de manzanas","cruza:cruzar_V%está empujando:empujar_V",2,"","",""
"2557",2558,"NS_166","NS","Path",15,"pge_tabgro","Popi mete una mesita dentro de una cueva","mete:meter_V%dentro:(a)dentro_AdvP",2,"","",""
"1018",1019,"31","L2","Control",27,"prt_rourou","Popi camina al lado derecho con la rueda cruzando la calle","camina:caminar_V%cruzando:cruzando_Ger",2,"","",""
"145",146,"5","L2","Manner",12,"pgt_panrue","empuja esta cosa [llena de manzanas] al otro lado del camino","empuja:empujar_V%al otro lado del camino:PREP-otro-lado_PP",2,"","",""
"955",956,"29","L2","Path",30,"pgm_paqtoi","el hombre sube una casa con un regalo","sube:subir_V",1,"","",""
"3163",3164,"NS_184","NS","Path",27,"tgt_cherue","Popi cruza el camino del pueblo con un caballito de madera","cruza:cruzar_V",1,"","",""
"2593",2594,"NS_167","NS","Manner",18,"prm_boudun","Popi rueda el flotador por la arena","rueda:rodar_V",1,"","",""
"1917",1918,"59","L2","Control",2,"tgd_malcol","Popi ha bajado por una colina trayendo un baúl","ha bajado:bajar_V%trayendo:trayendo_Ger",2,"","",""
"2833",2834,"NS_174","NS","Path",27,"prd_balnei","Popi baja la ladera nevada con la pelota","baja:bajar_V",1,"","",""
"3019",3020,"NS_180","NS","Path",15,"prt_rourou","Popi cruza la carretera con una rueda","cruza:cruzar_V",1,"","",""
"2899",2900,"NS_176","NS","Path",27,"prd_balnei","Popi baja una cuesta con una pelota","baja:bajar_V",1,"","",""
"377",378,"12","L2","Control",13,"pge_tabgro","Popi empujaba una mesa delante para entrando en una cueva","empujaba:empujar_V%delante:delante_AdvP%entrando en:entrando_Ger",3,"","",""
"1313",1314,"40","L2","Manner",25,"prd_balcol","Popi ha bajado por una colina empujando una pelota","ha bajado:bajar_V%empujando:empujando_Ger",2,"","",""
"286",287,"9","L2","Path",21,"tgm_sactoi","un hombre sube un techo con un saco de dinero","sube:subir_V",1,"","",""
"753",754,"23","L2","Manner",26,"pgm_paqdun","Popi empuja el paquete por una cuesta","empuja:empujar_V",1,"","",""
"3168",3169,"NS_184","NS","Path",32,"prd_balnei","Popi baja una pelota de un montículo de nieve","baja:bajar_V",1,"","",""
"942",943,"29","L2","Path",17,"prt_rourue","el hombre cruza la calle con una rueda","cruza:cruzar_V",1,"","",""
"2454",2455,"NS_163","NS","Path",11,"tge_chamai","Popi arrastra una silla verde","arrastra:arrastrar_V",1,"","",""
"3735",3736,"NS_203","NS","Control",5,"trd_brocol","Popi baja la carretilla por la colina","baja:bajar_V",1,"","",""
"954",955,"29","L2","Path",29,"pre_pnemai","el hombre entra una casa con una rueda de coche ","entra:entrar_V",1,"","",""
"2163",2164,"NS_154","NS","Control",17,"prd_balnei","Popi empujó una pelota de plástico hacia abajo de una ladera","empujó:empujar_V%hacia abajo:PREP-abajo_PP",2,"","",""
"353",354,"11","L2","Control",22,"tgm_sacdun","pobre Popi tiene que mover un saco por las dunas","",0,"","",""
"3710",3711,"NS_201","NS","Control",13,"prm_boutoi","Popi ha subido al tejado de una casa empujando un flotador ","ha subido:subir_V%empujando:empujando_Ger",2,"","",""
"2741",2742,"NS_172","NS","Manner",1,"prd_balnei","Popi hace rodar una pelota por la nieve","hace rodar:hacer-rodar_Vphrase",1,"","",""
"3865",3866,"NS_207","NS","Path",3,"trd_bronei","Popi baja una carretilla por la nieve","baja:bajar_V",1,"","",""
"3692",3693,"NS_200","NS","Manner",28,"tre_cadmai","Popi tira de un carro hasta un edificio","tira de:tirar-de_V",1,"","",""
"947",948,"29","L2","Path",22,"pge_tabmai","el hombre entra una casa con una mesa","entra:entrar_V",1,"","",""
"2370",2371,"NS_160","NS","Control",26,"tgd_malcol","Popi arrastra un baúl por una colina","arrastra:arrastrar_V",1,"","",""
"2385",2386,"NS_161","NS","Path",8,"trm_voidun","Popi sube un coche de juguete a una duna de arena","sube:subir_V",1,"","",""
"1701",1702,"52","L2","Manner",17,"tre_cadgro","el Popi entra a la cueva con una maleta","entra a:entrar_V",1,"","",""
"1070",1071,"33","L2","Control",13,"trt_pourue","Popi está en la calle con su coche de bebé","",0,"","",""
"3057",3058,"NS_181","NS","Path",20,"tge_chamai","Popi entra en una casa con una silla","entra en:entrar_V",1,"","",""
"2592",2593,"NS_167","NS","Manner",17,"pgt_panrou","Popi empuja un cesto de manzanas","empuja:empujar_V",1,"","",""
"1346",1347,"41","L2","Path",25,"pgt_panrou","Popi cruza la calle con la cesta llena de manzanas","cruza:cruzar_V",1,"","",""
"154",155,"5","L2","Manner",21,"trt_pourou","el chico lleva el carro de bebés al otro lado del camino","lleva:llevar_V%al otro lado del camino:PREP-otro-lado_PP",2,"","",""
"747",748,"23","L2","Manner",20,"trt_pourou","Popi tira de un carrito de bebé","tira de:tirar-de_V",1,"","",""
"1848",1849,"56","L2","Control",32,"pgm_paqtoi","Popi ha subido un techo de una casa con un paquete","ha subido:subir_V",1,"","",""
"1650",1651,"50","L2","Control",32,"pgd_valcol","ha bajado una colina empujando a una maleta","ha bajado:bajar_V%empujando:empujando_Ger",2,"","",""
"79",80,"3","L2","Path",12,"pgt_panrou","está cruzando la calle con una cantidad de manzanas","está cruzando:cruzar_V",1,"","",""
"3165",3166,"NS_184","NS","Path",29,"prd_balnei","Popi baja una pelota de un montículo de nieve","baja:bajar_V",1,"","",""
"1355",1356,"42","L2","Path",1,"prd_balcol","Popi baja una cuesta rodando una pelota","baja:bajar_V",1,"","",""
"2147",2148,"NS_154","NS","Control",1,"trm_voidun","Popi empujando un coche de juguete por una duna de arena en el mar","empujando:empujando_Ger",1,"","",""
"2056",2057,"NS_151","NS","Control",9,"tgt_cherou","Popi arrastra un juguete de un caballito","arrastra:arrastrar_V",1,"","",""
"2390",2391,"NS_161","NS","Path",13,"pgt_panrou","Popi cruza la calle con una cesta de manzanas","cruza:cruzar_V",1,"","",""
"2214",2215,"NS_156","NS","Control",2,"tgd_malcol","Popi arrastra un gran baúl","arrastra:arrastrar_V",1,"","",""
"2890",2891,"NS_176","NS","Path",18,"tre_cadmai","Popi entra en un sitio con un carrito","entra en:entrar_V",1,"","",""
"3718",3719,"NS_201","NS","Control",21,"pre_pnegro","Popi ha hecho rodar una rueda del coche hasta el interior de una cueva","ha hecho rodar:hacer-rodar_Vphrase%hasta el interior de una cueva:PREP-el-interior_PP",2,"","",""
"3087",3088,"NS_182","NS","Manner",17,"tgd_malcol","Popi arrastra un baúl por la montaña","arrastra:arrastrar_V",1,"","",""
"3177",3178,"NS_185","NS","Manner",8,"prt_rourue","Popi lleva una rueda de un hacia el otro","lleva:llevar_V",1,"","",""
"596",597,"19","L2","Control",1,"trd_brocol","Popi está llevando la cartelía [=carretilla]","está llevando:llevar_V",1,"","",""
"805",806,"25","L2","Control",12,"pgm_paqtoi","Popi ha empujado un regalo grande por el tejado","ha empujado:empujar_V",1,"","",""
"3860",3861,"NS_206","NS","Manner",31,"trm_voidun","Popi sube la cuesta tirando de un coche","sube:subir_V%tirando de:tirando-de_Ger",2,"","",""
"52",53,"2","L2","Control",18,"tgm_sacdun","Popi cruzó la playa con este saco","cruzó:cruzar_V",1,"","",""
"2439",2440,"NS_162","NS","Path",29,"tgd_malnei","Popi baja una montaña de nieve tirando de una caja","baja:bajar_V%tirando de:tirando-de_Ger",2,"","",""
"1260",1261,"39","L2","Manner",5,"pgm_paqtoi","Popi está subiendo a un techo con un paquete","está subiendo:subir_V",1,"","",""
"1760",1761,"54","L2","Control",10,"pre_pnegro","quiere bajarlo [una rueda grandísima] en una cueva en el bosque","bajar:bajar_Inf",1,"","",""
"1613",1614,"49","L2","Manner",28,"pre_pnegro","Popi está en un bosque llevando algo desde izquierda a derecha","llevando:llevando_Ger",1,"","",""
"1409",1410,"43","L2","Control",22,"trd_brocol","Popi ha bajado un carrito de una colina","ha bajado:bajar_V",1,"","",""
"1240",1241,"38","L2","Path",18,"trd_bronei","el muchacho está bajando una montículo con una carretilla","está bajando:bajar_V",1,"","",""
"2135",2136,"NS_153","NS","Control",22,"trd_bronei","Popi ha bajado la nieve a cuestas con una carretilla de color amarillo","ha bajado:bajar_V%a cuestas:a-cuestas_AdvP",2,"","",""
"1542",1543,"47","L2","Manner",23,"tge_chagro","Popi entra en una cueva con una silla","entra en:entrar_V",1,"","",""
"2093",2094,"NS_152","NS","Control",13,"trd_bronei","Popi baja una montaña arrastrando una carretilla","baja:bajar_V%arrastrando:arrastrando_Ger",2,"","",""
"1696",1697,"52","L2","Manner",12,"pgd_valnei","el Popi se baja la colina nevada con una maleta","baja:bajar_V",1,"","",""
"181",182,"6","L2","Path",15,"tgm_sactoi","Popi sube por el techo con un saco blanco","sube:subir_V",1,"","",""
"2229",2230,"NS_156","NS","Control",17,"pgt_panrue","Popi empuja un gran cesto de manzanas","empuja:empujar_V",1,"","",""
"1881",1882,"57","L2","Path",32,"tgm_sactoi","el Popi sube un tejado con un saco","sube:subir_V",1,"","",""
"1204",1205,"37","L2","Control",15,"tge_chagro","entra en el cuevo con una silla","entra en:entrar_V",1,"","",""
"639",640,"20","L2","Manner",11,"prt_rourou","Popi empuja la rueda al otro lado de la carretera","empuja:empujar_V%al otro lado de la carretera:PREP-otro-lado_PP",2,"","",""
"1578",1579,"48","L2","Control",26,"tgt_cherou","Popi cruza una calle con un caballo juguete","cruza:cruzar_V",1,"","",""
"3276",3277,"NS_188","NS","Control",8,"prm_boudun","Popi ha rodado un flotador subiéndolo por la ladera de la playa","ha rodado:rodar_V%subiéndolo:subiendo_Ger",2,"","",""
"2774",2775,"NS_173","NS","Path",1,"tgm_sactoi","Popi sube un saco por el tejado de una casa","sube:subir_V",1,"","",""
"2996",2997,"NS_179","NS","Manner",25,"tre_cadgro","Popi lleva el carrito de compra a la cueva","lleva:llevar_V",1,"","",""
"1714",1715,"52","L2","Manner",30,"pgt_panrue","el Popi se empuja las manzanas cruzando la calle","empuja:empujar_V%cruzando:cruzando_Ger",2,"","",""
"556",557,"17","L2","Path",27,"trt_pourou","Popi cruza una calle con un coche para los niños","cruza:cruzar_V",1,"","",""
"1538",1539,"47","L2","Manner",19,"pge_tabmai","Popi entra en una puerta con una mesa","entra en:entrar_V",1,"","",""
"3013",3014,"NS_180","NS","Path",9,"tre_cadmai","Popi lleva a casa después de hacer la compra","lleva:llevar_V",1,"","",""
"3443",3444,"NS_193","NS","Control",10,"tre_cadgro","Popi se mete dentro de una cueva con el carro de la compra","mete:meter_V%dentro:(a)dentro_AdvP",2,"","",""
"1798",1799,"55","L2","Manner",15,"tre_cadgro","Popi tira un carrito de compras por la cueva","tira:tirar-de_V",1,"","",""
"1587",1588,"49","L2","Manner",2,"tgm_sactoi","Popi lleva un saco arriba una casa","lleva:llevar_V%arriba:arriba_AdvP",2,"","",""
"413",414,"13","L2","Path",16,"tgd_malnei","Popi bajó una loma de nieve con una caja grande","bajó:bajar_V",1,"","",""
"330",331,"10","L2","Manner",32,"pre_pnemai","Popi empuja la rueda para dentro de la casa","empuja:empujar_V%para dentro:PREP-(a)dentro_PP",2,"","",""
"3000",3001,"NS_179","NS","Manner",29,"trm_voitoi","Popi sube el tejado su coche","sube:subir_V",1,"","",""
"1787",1788,"55","L2","Manner",4,"pgm_paqtoi","Popi empuja un paquete por el tejado","empuja:empujar_V",1,"","",""
"3458",3459,"NS_193","NS","Control",25,"prm_boutoi","Popi sube un flotador a su tejado","sube:subir_V",1,"","",""
"3831",3832,"NS_206","NS","Manner",2,"prm_boudun","Popi rueda un salvavidas por un montículo","rueda:rodar_V",1,"","",""
"1190",1191,"37","L2","Control",1,"prt_rourou","está empujando el ruedo de carro","está empujando:empujar_V",1,"","",""
"2028",2029,"NS_150","NS","Manner",14,"prm_boudun","Popi rueda un flotador por la arena","rueda:rodar_V",1,"","",""
"1221",1222,"37","L2","Control",32,"pgm_paqdun","empuja el paquete por la duna","empuja:empujar_V",1,"","",""
"2321",2322,"NS_159","NS","Path",10,"prd_balnei","Popi empuja una bola de plástico por la nieve","empuja:empujar_V",1,"","",""
"355",356,"11","L2","Control",24,"pgd_valcol","Popi está bajando con una maleta de una subida","está bajando:bajar_V",1,"","",""
"3561",3562,"NS_196","NS","Manner",29,"trd_bronei","Popi arrastra una carretilla por la colina de una montaña de nieve","arrastra:arrastrar_V",1,"","",""
"81",82,"3","L2","Path",14,"trm_voitoi","está subiendo el techo con un carro","está subiendo:subir_V",1,"","",""
"1093",1094,"34","L2","Manner",3,"trm_voidun","él arrastrando un auto de juguetes de las dunas","arrastrando:arrastrando_Ger",1,"","",""
"1298",1299,"40","L2","Manner",10,"tgd_malnei","Popi baja con un baúl","baja:bajar_V",1,"","",""
"2762",2763,"NS_172","NS","Manner",22,"pgm_paqdun","Popi arrastra un paquete de regalo por la playa","arrastra:arrastrar_V",1,"","",""
"2472",2473,"NS_163","NS","Path",29,"trm_voidun","Popi sube una montaña de arena arrastrando un coche","sube:subir_V%arrastrando:arrastrando_Ger",2,"","",""
"3332",3333,"NS_189","NS","Manner",31,"pgm_paqtoi","Popi sube un regalo gigante a la cima de una casa y lo lleva arrastrando","lleva:llevar_V%sube:subir_V%a la cima:PREP-la-cima_PP%arrastrando:arrastrando_Ger",4,"","",""
"482",483,"15","L2","Manner",19,"pgt_panrou","Popi empuja una cesta grande llena de manzanas por una carretera","empuja:empujar_V",1,"","",""
"3010",3011,"NS_180","NS","Path",6,"pgm_paqtoi","Popi empuja un regalo encima de un tejado","empuja:empujar_V%encima:encima_PP",2,"","",""
"1225",1226,"38","L2","Path",3,"tgt_cherou","el chico está cruzando la calle con el caballo de juguetes","está cruzando:cruzar_V",1,"","",""
"2915",2916,"NS_177","NS","Control",10,"pgt_panrue","Popi empuja una gran cesta de madera llena de manzanas por el camino","empuja:empujar_V",1,"","",""
"2523",2524,"NS_165","NS","Manner",14,"prd_balnei","Popi rueda una pelota cuesta bajo de una ladera nevada","rueda:rodar_V",1,"","",""
"2104",2105,"NS_152","NS","Control",24,"pgm_paqtoi","Popi sube un tejado arrastrando un regalo","sube:subir_V%arrastrando:arrastrando_Ger",2,"","",""
"3906",3907,"NS_208","NS","Manner",11,"pre_pnemai","Popi lleva una rueda a un garaje","lleva:llevar_V",1,"","",""
"675",676,"21","L2","Path",14,"pre_pnegro","Popi está entrando una rueda del coche a una cueva","está entrando:entrar_V",1,"","",""
"987",988,"30","L2","Path",29,"pre_pnemai","Popi entra la granja con una rueda de carro","entra:entrar_V",1,"","",""
"2075",2076,"NS_151","NS","Control",28,"tge_chamai","Popi arrastra una silla","arrastra:arrastrar_V",1,"","",""
"274",275,"9","L2","Path",9,"tgt_cherou","un niño cruza la calle con un caballo de juguete","cruza:cruzar_V",1,"","",""
"3092",3093,"NS_182","NS","Manner",22,"pgm_paqdun","Popi empuja un regalo por la playa","empuja:empujar_V",1,"","",""
"871",872,"27","L2","Control",12,"tgt_cherou","Popi cruza la calle con su caballito de juguete","cruza:cruzar_V",1,"","",""
"1087",1088,"33","L2","Control",30,"prt_rourou","Popi mueve una rueda de madera en un camino","mueve:mover_V",1,"","",""
"1345",1346,"41","L2","Path",24,"pre_pnemai","Popi entró la rueda en el granadero","entró:entrar_V",1,"","",""
"2170",2171,"NS_154","NS","Control",24,"tre_cadmai","Popi entra en un establo junto con un carro de la compra","entra en:entrar_V",1,"","",""
"3488",3489,"NS_194","NS","Manner",22,"prd_balnei","Popi rueda una pelota de playa gigante colina nevada abajo","rueda:rodar_V%abajo:abajo_AdvP",2,"","",""
"3299",3300,"NS_188","NS","Control",31,"pgd_valnei","Popi ha bajado la ladera de nieve empujando una maleta","ha bajado:bajar_V%empujando:empujando_Ger",2,"","",""
"1807",1808,"55","L2","Manner",24,"trt_pourou","Popi tira un carrito de bebé por el camino","tira:tirar-de_V",1,"","",""
"36",37,"2","L2","Control",2,"trm_voidun","Popi está en la playa con <una coche pequeña> [=un coche pequeño]","",0,"","",""
"1447",1448,"44","L2","Control",27,"trt_pourou","cruzando el camino con un carro de bebé","cruzando:cruzando_Ger",1,"","",""
"3430",3431,"NS_192","NS","Manner",30,"pgm_paqtoi","Popi ha subido un regalo al tejado de una casa","ha subido:subir_V",1,"","",""
"2604",2605,"NS_167","NS","Manner",29,"trt_pourue","Popi tira del carrito por la calle","tira de:tirar-de_V",1,"","",""
"250",251,"8","L2","Manner",18,"pgm_paqtoi","Popi empuja el paquete arriba del techo","empuja:empujar_V%arriba:arriba_AdvP",2,"","",""
"1340",1341,"41","L2","Path",19,"tre_cadgro","Popi entró la cueva con el carrito de compras","entró:entrar_V",1,"","",""
"386",387,"12","L2","Control",22,"tgd_malcol","Popi bajó una colina con un baúl o una caja detrás","bajó:bajar_V%con un baúl o una caja detrás:detrás/atrás_AdvP",2,"","",""
"2193",2194,"NS_155","NS","Control",14,"prm_boudun","Popi sube una montaña de arena con un flotador de delfines","sube:subir_V",1,"","",""
"179",180,"6","L2","Path",13,"tre_cadgro","Popi entra en la cueva con un carrito de compras","entra en:entrar_V",1,"","",""
"3391",3392,"NS_191","NS","Manner",24,"pgd_valcol","Popi empuja una maleta por el campo","empuja:empujar_V",1,"","",""
"2617",2618,"NS_168","NS","Path",9,"tge_chamai","Popi lleva consigo una silla verde y la introduce en un granero","introduce:introducir_V%lleva:llevar_V",2,"","",""
"486",487,"15","L2","Manner",23,"pge_tabgro","Popi empuja una mesa redonda y pasa por la entrada de una cueva","empuja:empujar_V%pasa:pasar_V",2,"","",""
"3719",3720,"NS_201","NS","Control",22,"pgd_valcol","Popi ha empujado una maleta ladera abajo ","ha empujado:empujar_V%abajo:abajo_AdvP",2,"","",""
"700",701,"22","L2","Path",6,"trt_pourou","Popi cruza otra vez un camino en medio del bosque y empuja un carrito de bebé","cruza:cruzar_V%empuja:empujar_V",2,"","",""
"2718",2719,"NS_171","NS","Path",11,"prm_boutoi","Popi sube un tejado empujando un flotador","sube:subir_V%empujando:empujando_Ger",2,"","",""
"1659",1660,"51","L2","Path",8,"tge_chamai","Popi vuelve con una silla y entra una puerta ","entra:entrar_V%vuelve :volver_V",2,"","",""
"3816",3817,"NS_205","NS","Path",20,"trd_brocol","Popi baja una colina en el bosque con una carretilla a sus espaldas","baja:bajar_V",1,"","",""
"3464",3465,"NS_193","NS","Control",31,"tge_chamai","Popi mete una silla en su casa","mete:meter_V",1,"","",""
"1351",1352,"41","L2","Path",30,"prd_balcol","Popi empujó la pelota y la bajó de la montañita","bajó:bajar_V%empujó:empujar_V",2,"","",""
"3900",3901,"NS_208","NS","Manner",5,"pge_tabgro","Popi arrastra una mesa hacia una oscura cueva","arrastra:arrastrar_V%hacia una oscura cueva:hacia/hasta-BOUNDARY_PP",2,"","",""
"2004",2005,"NS_1","NS","Control",23,"tgm_sactoi","ha subido por el tejado de una casa tirando de un saco","ha subido:subir_V%tirando de:tirando-de_Ger",2,"","",""
"849",850,"26","L2","Manner",23,"trm_voidun","Popi tira un coche de juego acuesta de una duna","tira:tirar-de_V",1,"","",""
"2871",2872,"NS_175","NS","Control",32,"pge_tabmai","Popi entra en un granero arrastrando una mesa de madera","entra en:entrar_V%arrastrando:arrastrando_Ger",2,"","",""
"2243",2244,"NS_156","NS","Control",31,"trd_brocol","Popi baja arrastrando una carretilla por una colina","baja:bajar_V%arrastrando:arrastrando_Ger",2,"","",""
"3067",3068,"NS_181","NS","Path",30,"tgd_malnei","Popi baja por la nieve con un cofre","baja:bajar_V",1,"","",""
"1493",1494,"46","L2","Path",7,"tre_cadmai","Popi entra la casa con un carríl de compra en el campo","entra:entrar_V",1,"","",""
"3297",3298,"NS_188","NS","Control",29,"pge_tabgro","Popi se ha metido en la cueva arrastrando una mesa de madera circular","ha metido:meter_V%arrastrando:arrastrando_Ger",2,"","",""
"1601",1602,"49","L2","Manner",16,"tgd_malnei","Popi lleva una maleta en la parte con mucha nieve","lleva:llevar_V",1,"","",""
"551",552,"17","L2","Path",22,"pgm_paqdun","Popi sube con un paquete","sube:subir_V",1,"","",""
"132",133,"4","L2","Control",32,"pge_tabgro","Popi ha traído una mesa dentro del cuevo","traído:traer_V%dentro:(a)dentro_AdvP",2,"","",""
"1747",1748,"53","L2","Path",30,"pgm_paqtoi","Popi sube el techo con un paquete","sube:subir_V",1,"","",""
"1029",1030,"32","L2","Path",5,"trt_pourou","Popi cruzó un río de hielo con una carreta","cruzó:cruzar_V",1,"","",""
"1921",1922,"59","L2","Control",6,"prd_balcol","Popi ha bajado por una colina empujando una pelota hinchable","ha bajado:bajar_V%empujando:empujando_Ger",2,"","",""
